INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 08:15:37,825 ERROR app Thread-9 : Errorl evel log
2022-12-15 08:15:37,836 INFO werkzeug Thread-9 : 127.0.0.1 - - [15/Dec/2022 08:15:37] "[32mPOST /login HTTP/1.1[0m" 302 -
2022-12-15 08:15:37,840 INFO werkzeug Thread-10 : 127.0.0.1 - - [15/Dec/2022 08:15:37] "GET /login HTTP/1.1" 200 -
2022-12-15 08:15:37,900 INFO werkzeug Thread-11 : 127.0.0.1 - - [15/Dec/2022 08:15:37] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
2022-12-15 08:15:37,901 INFO werkzeug Thread-12 : 127.0.0.1 - - [15/Dec/2022 08:15:37] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:30:19,831 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-12-15 08:33:26,844 INFO werkzeug Thread-1 : 127.0.0.1 - - [15/Dec/2022 08:33:26] "GET / HTTP/1.1" 200 -
2022-12-15 08:33:26,869 INFO werkzeug Thread-2 : 127.0.0.1 - - [15/Dec/2022 08:33:26] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:33:26,870 INFO werkzeug Thread-3 : 127.0.0.1 - - [15/Dec/2022 08:33:26] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 08:33:26,871 INFO werkzeug Thread-4 : 127.0.0.1 - - [15/Dec/2022 08:33:26] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 08:33:26,872 INFO werkzeug Thread-5 : 127.0.0.1 - - [15/Dec/2022 08:33:26] "GET /static/sld3.jpg HTTP/1.1" 200 -
2022-12-15 08:33:28,446 INFO werkzeug Thread-6 : 127.0.0.1 - - [15/Dec/2022 08:33:28] "GET /login HTTP/1.1" 200 -
2022-12-15 08:33:28,467 INFO werkzeug Thread-8 : 127.0.0.1 - - [15/Dec/2022 08:33:28] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 08:33:28,467 INFO werkzeug Thread-7 : 127.0.0.1 - - [15/Dec/2022 08:33:28] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
2022-12-15 08:33:33,304 INFO app Thread-9 : Login Success
2022-12-15 08:33:33,306 INFO werkzeug Thread-9 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[32mPOST /login HTTP/1.1[0m" 302 -
2022-12-15 08:33:33,358 INFO werkzeug Thread-10 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:33:33,421 INFO werkzeug Thread-11 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:33:33,428 INFO werkzeug Thread-12 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:33,447 INFO werkzeug Thread-13 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:33,456 INFO werkzeug Thread-14 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[36mGET /static/fontawesome-free-6.2.1-web/webfonts/fa-solid-900.woff2 HTTP/1.1[0m" 304 -
2022-12-15 08:33:33,460 INFO werkzeug Thread-15 : 127.0.0.1 - - [15/Dec/2022 08:33:33] "[36mGET /static/fontawesome-free-6.2.1-web/webfonts/fa-regular-400.woff2 HTTP/1.1[0m" 304 -
2022-12-15 08:33:38,330 INFO app Thread-16 : Item Added To List
2022-12-15 08:33:38,331 INFO werkzeug Thread-16 : 127.0.0.1 - - [15/Dec/2022 08:33:38] "[32mPOST /add_to_cart/1 HTTP/1.1[0m" 302 -
2022-12-15 08:33:38,383 INFO werkzeug Thread-17 : 127.0.0.1 - - [15/Dec/2022 08:33:38] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:33:38,397 INFO werkzeug Thread-18 : 127.0.0.1 - - [15/Dec/2022 08:33:38] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:33:38,398 INFO werkzeug Thread-19 : 127.0.0.1 - - [15/Dec/2022 08:33:38] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:38,413 INFO werkzeug Thread-20 : 127.0.0.1 - - [15/Dec/2022 08:33:38] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:41,104 INFO werkzeug Thread-21 : 127.0.0.1 - - [15/Dec/2022 08:33:41] "GET /mc1 HTTP/1.1" 200 -
2022-12-15 08:33:41,124 INFO werkzeug Thread-22 : 127.0.0.1 - - [15/Dec/2022 08:33:41] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:33:41,125 INFO werkzeug Thread-23 : 127.0.0.1 - - [15/Dec/2022 08:33:41] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:41,136 INFO werkzeug Thread-24 : 127.0.0.1 - - [15/Dec/2022 08:33:41] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:42,856 INFO app Thread-25 : Item Removed from List
2022-12-15 08:33:42,856 INFO werkzeug Thread-25 : 127.0.0.1 - - [15/Dec/2022 08:33:42] "[32mPOST /remove_from_cart/1 HTTP/1.1[0m" 302 -
2022-12-15 08:33:42,903 INFO werkzeug Thread-26 : 127.0.0.1 - - [15/Dec/2022 08:33:42] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:33:42,920 INFO werkzeug Thread-27 : 127.0.0.1 - - [15/Dec/2022 08:33:42] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:33:42,921 INFO werkzeug Thread-28 : 127.0.0.1 - - [15/Dec/2022 08:33:42] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:33:42,935 INFO werkzeug Thread-29 : 127.0.0.1 - - [15/Dec/2022 08:33:42] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:37:46,081 INFO app Thread-30 : Item Added To List
2022-12-15 08:37:46,082 INFO werkzeug Thread-30 : 127.0.0.1 - - [15/Dec/2022 08:37:46] "[32mPOST /add_to_cart/1 HTTP/1.1[0m" 302 -
2022-12-15 08:37:46,129 INFO werkzeug Thread-31 : 127.0.0.1 - - [15/Dec/2022 08:37:46] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:37:46,144 INFO werkzeug Thread-32 : 127.0.0.1 - - [15/Dec/2022 08:37:46] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:37:46,151 INFO werkzeug Thread-33 : 127.0.0.1 - - [15/Dec/2022 08:37:46] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:37:46,159 INFO werkzeug Thread-34 : 127.0.0.1 - - [15/Dec/2022 08:37:46] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:37:48,238 INFO werkzeug Thread-35 : 127.0.0.1 - - [15/Dec/2022 08:37:48] "GET /mc1 HTTP/1.1" 200 -
2022-12-15 08:37:48,259 INFO werkzeug Thread-36 : 127.0.0.1 - - [15/Dec/2022 08:37:48] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:37:48,260 INFO werkzeug Thread-37 : 127.0.0.1 - - [15/Dec/2022 08:37:48] "[33mGET /None HTTP/1.1[0m" 404 -
